20170041,Strong Island (2017),41,107,100,275
20170042,After the Storm (Umi yori mo mada fukaku) (2017),42,117,96,143
20170043,It (2017),43,135,85,29
20170044,Whose Streets? (2017),44,100,98,323
20170045,John Wick: Chapter 2 (2017),45,122,89,74
20170046,Menashe (2017),46,81,96,187
20170047,Graduation (Bacalaureat) (2017),47,127,95,90
20170048,Quest (2017),48,105,98,181
20170049,Step (2017),49,83,96,23
20170050,Dina (2017),50,101,98,36
20170051,Raw (2017),51,98,92,190
20170052,The Red Turtle (La tortue rouge) (2017),52,80,93,254
20170053,In This Corner of the World (Kono sekai no katasumi ni) (2017),53,129,97,344
20170054,The Meyerowitz Stories (New and Selected) (2017),54, ,92,276
20170055,I; Daniel Blake (2017),55,100,92,200
20170056,Ex Libris: New York Public Library (2017),56,197,97,129
20170057,Bombshell: The Hedy Lamarr Story (2017),57,90,96,16
20170058,The Last Laugh (2017),58,90,98,125
20170059,1945 (2017),59,91,97,123
20170060,Dolores (2017),60,98,98,294
20170061,A Quiet Passion (2017),61,126,92,353
20170062,Montparnasse Bienvenue (Jeune femme) (2017),62,97,98,209
20170063,Thelma (2017),63,116,93,167
20170064,The B-Side: Elsa Dorfman's Portrait Photography (2017),64,76,97,120
20170065,The Breadwinner (2017),65,93,95,278
20170066,The Happiest Day in the Life of Olli M\xe4ki (Hymyilev\xe4 mies) (2017),66,93,97,189
20170067,Wind River (2017),67,111,88,351
20170068,Battle of the Sexes (2017),68,121,85,180
20170069,Stronger (2017),69,119,90,102
20170070,Girls Trip (2017),70,122,91,232
20170071,I Called Him Morgan (2017),71,89,96,197
20170072,It Comes At Night (2017),72,91,87,362
20170073,Trophy (2017),73,108,96,332
20170074,The Women's Balcony (Ismach Hatani) (2017),74,96,96,119
20170075,F\xe9licit\xe9 (2017),75,123,96,9
20170076,20th Century Women (2017),76,118,88,263
20170077,The Survivalist (2017),77,104,96,337
20170078,American Made (2017),78,115,86,113
20170079,Darkest Hour (2017),79,125,84,172
20170080,A Monster Calls (2017),80,108,86,148
20170081,The Lost City of Z (2017),81,140,87,154
20170082,Citizen Jane: Battle for the City (2017),82,92,95,248
20170083,Their Finest (2017),83,110,90,221
20170084,Frantz (2017),84,114,91,127
