65000414,Ben Rosenfield (II),Not Available
65000415,Ben Schwartz,Not Available
65000416,Ben Stiller,30.Nov.65
65000417,Ben VanderMey,Not Available
65000418,Ben Whishaw,14.Oct.80
65000419,Bence Tasnádi,Not Available
65000420,Benedict Cumberbatch,19.Jul.76
65000421,Benedict Hardie,Not Available
65000422,Benedict Wong,Not Available
65000423,Benicio Del Toro,19.Feb.67
65000424,Benito Martinez,28.Jun.71
65000425,Benjamin Boutboul,Not Available
65000426,Benjamin Bratt,16.Dec.63
65000427,Benjamin Dickey,Not Available
65000428,Benjamin Lok,Not Available
65000429,Benjamin Mason,Not Available
65000430,Benjamin Wainwright,Not Available
65000431,Benjamin Weaver,Not Available
65000432,Benny Safdie,Not Available
65000433,Bentley Kalu,Not Available
65000434,Bérangère McNeese,Not Available
65000435,Bernadette Quigley,Not Available
65000436,Bernadine Durham,Not Available
65000437,Bernard David Jones,Not Available
65000438,Bernard Pretty Purdie,11.Jun.39
65000439,Bernard Verley,4.Oct.39
65000440,Bertila Damas,Not Available
65000441,Beth Grant,18.Sep.49
65000442,Bethany Anne Lind,Not Available
65000443,Bethsheba Paramor,Not Available
65000444,Betsy Sodaro,Not Available
65000445,Betty Adewole,Not Available
65000446,Betty Gabriel,Not Available
65000447,Betty Jeune,Not Available
65000448,Beverly Longhurst,Not Available
65000449,Beyoncé Knowles,4.Sep.81
65000450,Beza Mickan,Not Available
65000451,Beza Mickan-White,Not Available
65000452,Bhagwan Tiwari,Not Available
65000453,Bianca Pomponio,Not Available
65000454,Bill Camp,Not Available
65000455,Bill Clinton,19.Aug.46
65000456,Bill Duke,26.Feb.43
65000457,Bill Fellows,25.May.57
65000458,Bill Heck,Not Available
65000459,Bill Murray,21.Sep.50
65000460,Bill Nighy,12.Dec.49
65000461,Bill Pullman,17.Dec.53
65000462,Bill Skarsgård,Not Available
65000463,Bill Wise,Not Available
65000464,Billie Lourd,Not Available
65000465,Billy Crudup,8.Jul.68
65000466,Billy Crystal,14.Mar.48
65000467,Billy Dee Williams,6.Apr.37
65000468,Billy MacLellan,Not Available
65000469,Billy Ray Brewton,Not Available
65000470,Billy Wickman,Not Available
