290,Pawel Pawlikowski,Not Available
291,Pedro Almod\xf3var,10.Mar.90
292,Pedro Costa,Not Available
293,Penny Lane,Not Available
294,Peter Bratt,Not Available
295,Peter Cattaneo,Not Available
296,Peter Jackson,Not Available
297,Peter Strickland,Not Available
298,Peyton Reed,Not Available
299,Phil Johnston,Not Available
300,Prentice Penny,Not Available
301,Quentin Dupieux,Not Available
302,Quentin Tarantino,10.Mar.91
303,Quinn Costello,Not Available
304,Rachel Lears,Not Available
305,Rachel Mason,Not Available
306,RaMell Ross,Not Available
307,Raoul Peck,Not Available
308,Rashaad Ernesto Green,Not Available
309,Rian Johnson,"                    Sep 14, 1972"
310,Richard Billingham,Not Available
311,Richard Stanley,Not Available
312,Richard Starzak,Not Available
313,Richard Wong,Not Available
314,Rob Grant,Not Available
315,Robert Eggers,Not Available
316,Robert Greene,6.Nov.85
317,Robin Campillo,Not Available
318,Roger Michell,Not Available
319,Rungano Nyoni,Not Available
320,Ryan Coogler,Not Available
321,Ryan White,Not Available
322,S. Craig Zahler,Not Available
323,Sabaah Folayan,Not Available
324,Sam Hargrave,Not Available
325,Sam Mendes,Not Available
326,Samuel Maoz,Not Available
327,Sandi Tan,Not Available
328,Sasie Sealy,Not Available
329,Sean Baker (II),Not Available
330,Sebasti\xe1n Lelio,Not Available
331,Severin Fiala,Not Available
332,Shaul Schwarz,Not Available
333,Shin'ichir\xf4 Ueda,Not Available
334,Spike Jonze,Not Available
335,Spike Lee,Not Available
336,Stella Meghie,Not Available
337,Stephen Fingleton,Not Available
338,Stephen Merchant,Not Available
339,Steve James (II),Not Available
340,Steve McQueen (III),Not Available
341,Steven Caple Jr.,6.Nov.83
342,Steven Soderbergh,Not Available
343,Steven Spielberg,Not Available
344,Sunao Katabuchi,Not Available
345,Susan Johnson,Not Available
346,Taika Waititi,Not Available
347,Takashi Miike,Not Available
348,Tamara Jenkins,6.Nov.72
349,Tanya Wexler,Not Available
350,Tayarisha Poe,Not Available
351,Taylor Sheridan,Not Available
352,Ted Melfi,Not Available
353,Terence Davies,Not Available
354,Thomas Riedelsheimer,Not Available
355,Tim Wardle,Not Available
356,Timothy Greenfield-Sanders,Not Available
357,Todd Douglas Miller,Not Available
358,Todd Haynes,Not Available
359,Tom Harper,Not Available
360,Tony Zierra,6.Nov.73
361,Travis Knight,Not Available
362,Trey Edward Shults,Not Available
363,Tyler Cornack,Not Available
364,Tyler Nilson,Not Available
365,Valeska Grisebach,Not Available
366,Vanessa Gould,Not Available
367,Waad al-Kateab,Not Available
368,Walt Dohrn,Not Available
369,Warwick Thornton,Not Available
370,Wes Anderson,Not Available
371,William Oldroyd,Not Available
372,Xavier Beauvois,6.Nov.86
373,Xavier Legrand,Not Available
374,Yen Tan,6.Nov.79
375,Yorgos Lanthimos,Not Available
376,Zhang Yimou,Not Available
