MID,Rating,Score,Title,Director,Runtime,
20190093,93,85%,The LEGO Movie 2: The Second Part (2019),Mike Mitchell,90,
20190094,94,91%,Luce (2019),Julius Onah,109,
20190095,95,94%,Mike Wallace Is Here (2019),Avi Belkin,90,
20190096,96,96%,An Elephant Sitting Still (Da xiang xi di er zuo) (2019),Hu Bo (II),230,
20190097,97,79%,Jojo Rabbit (2019),Taika Waititi,108,
20190098,98,90%,The Souvenir (2019),Joanna Hogg,119,
20190099,99,89%,The Kid Who Would Be King (2019),Joe Cornish,119,
20190100,100,94%,Ask Dr. Ruth (2019),Ryan White,100,
20200001,1,98%,Portrait of a Lady on Fire (Portrait de la jeune fille en feu) (2020),Ce'line Sciamma,119,
20200002,2,89%,1917 (2020),Sam Mendes,110,
20200003,3,91%,The Invisible Man (2020),Leigh Whannell,110,
20200004,4,99%,Never Rarely Sometimes Always (2020),Eliza Hittman,95,
20200005,5,99%,Blow the Man Down (2020),Danielle Krudy; Bridget Savage Cole,90,
20200006,6,88%,Onward (2020),Dan Scanlon,114,
20200007,7,100%,Crip Camp: A Disability Revolution (2020),Nicole Newnham; Jim LeBrecht,106,
20200008,8,98%,Extra Ordinary (2020),Mike Ahern; Enda Loughman,93,
20200009,9,100%,Slay the Dragon (2020),Barak Goodman; Chris Durrance,101,
20200010,10,100%,On the Record (2020),Kirby Dick; Amy Ziering,95,
20200011,11,91%,The Assistant (2020),Kitty Green,87,
20200012,12,96%,First Cow (2020),Kelly Reichardt,122,
20200013,13,98%,Vitalina Varela (2020),Pedro Costa,124,
20200014,14,97%,Corpus Christi (Boze cialo) (2020),Jan Komasa,116,
20200015,15,97%,Why Don't You Just Die! (Papa; sdokhni) (2020),Kirill Sokolov,95,
20200016,16,96%,The Half of It (2020),Alice Wu,95,
20200017,17,98%,Come As You Are (2020),Richard Wong,106,
20200018,18,98%,Lucky Grandma (2020),Sasie Sealy,87,
20200019,19,96%,The Painter and the Thief (2020),Benjamin Ree,102,
20200020,20,96%,A Shaun the Sheep Movie: Farmageddon (2020),Richard Starzak,86,
20200021,21,92%,The Vast of Night (2020),Andrew Patterson,89,
20200022,22,96%,Saint Frances (2020),Alex Thompson,98,
20200023,23,95%,Beastie Boys Story (2020),Spike Jonze,120,
20200024,24,78%,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn) (2020),Cathy Yan, ,
20200025,25,96%,Blood on Her Name (2020),Matthew Pope,83,
20200026,26,94%,The Personal History of David Copperfield (2020),Armando Iannucci,116,
20200027,27,91%,Bacurau (Nighthawk) (2020),Kleber Mendon\xe7a Filho; Juliano Dornelles,132,
20200028,28,91%,Shirley (2020),Josephine Decker,107,
20200029,29,93%,Ordinary Love (2020),"('Direct : '; u""Lisa Barros D'Sa; Glenn Leyburn"")",91,
20200030,30,86%,Emma. (2020),Autumn de Wilde, ,
20200031,31,83%,Just Mercy (2020),Destin Daniel Cretton,136,
20200032,32,95%,A White; White Day (Hv\xedtur; hv\xedtur dagur) (2020),Hlynur Pa'lmason,109,
20200033,33,93%,Becoming (2020),Nadia Hallgren,89,
20200034,34,94%,Premature (2020),Rashaad Ernesto Green,91,
20200035,35,92%,Miss Americana (2020),Lana Wilson,86,
20200036,36,92%,And Then We Danced (2020),Levan Akin,113,
20200037,37,91%,Weathering with You (2020),Makoto Shinkai,111,
20200038,38,91%,Beanpole (Dylda) (2020),Kantemir Balagov,139,
20200039,39,92%,The Wild Goose Lake (Nan fang che zhan de ju hui) (2020),Diao Yinan,117,
20200040,40,93%,End of Sentence (2020),Elfar; Adalsteins,96,
20200041,41,88%,Sorry We Missed You (2020),Ken Loach,102,
20200042,42,86%,Color Out of Space (2020),Richard Stanley,110,
20200043,43,93%,Uncorked (2020),Prentice Penny,104,
20200044,44,93%,The Perfect Candidate (2020),Haifaa Al-Mansour,101,
20200045,45,90%,Bull (2020),Annie Silverstein,105,
20200046,46,89%,Selah and the Spades (2020),Tayarisha Poe,89,
20200047,47,89%,The Trip to Greece (2020),Michael Winterbottom,112,
20200048,48,88%,Swallow (2020),Carlo Mirabella-Davis,94,
