movie_id,Title,Genre
20190013,If Beale Street Could Talk (2019),Drama
20190013,If Beale Street Could Talk (2019),Romance
20190014,Once Upon a Time In Hollywood (2019),Drama
20190014,Once Upon a Time In Hollywood (2019),Comedy
20190015,Pain and Glory (Dolor y gloria) (2019),Drama
20190016,Shazam! (2019),Action & Adventure
20190016,Shazam! (2019),Science Fiction & Fantasy
20190017,Apollo 11 (2019),Documentary
20190018,Ford v Ferrari (2019),Action & Adventure
20190018,Ford v Ferrari (2019),Drama
20190019,Dolemite Is My Name (2019),Drama
20190020,Uncut Gems (2019),Drama
20190021,The Lighthouse (2019),Drama
20190021,The Lighthouse (2019),Horror
20190021,The Lighthouse (2019),Science Fiction & Fantasy
20190022,Rocketman (2019),Drama
20190023,Amazing Grace (2019),Documentary
20190023,Amazing Grace (2019),Musical & Performing Arts
20190024,They Shall Not Grow Old (2019),Art House & International
20190024,They Shall Not Grow Old (2019),Documentary
20190025,Ash Is Purest White (2019),Drama
20190025,Ash Is Purest White (2019),Romance
20190026,John Wick: Chapter 3 - Parabellum (2019),Action & Adventure
20190026,John Wick: Chapter 3 - Parabellum (2019),Drama
20190027,The Peanut Butter Falcon (2019),Action & Adventure
20190027,The Peanut Butter Falcon (2019),Drama
20190028,Honeyland (2019),Documentary
20190029,Knock Down the House (2019),Documentary
20190030,Honey Boy (2019),Drama
20190031,Fighting with My Family (2019),Comedy
20190032,One Cut of the Dead (Kamera o tomeru na!) (2019),Art House & International
20190032,One Cut of the Dead (Kamera o tomeru na!) (2019),Comedy
20190032,One Cut of the Dead (Kamera o tomeru na!) (2019),Horror
20190033,Birds of Passage (Pe'jaros de verano) (2019),Drama
20190034,Maiden (2019),Documentary
20190035,For Sama (2019),Documentary
20190036,How to Train Your Dragon: The Hidden World (2019),Action & Adventure
20190036,How to Train Your Dragon: The Hidden World (2019),Animation
20190036,How to Train Your Dragon: The Hidden World (2019),Kids & Family
20190037,Hustlers (2019),Documentary
20190038,Atlantics (2019),Drama
20190038,Atlantics (2019),Romance
20190039,Driveways (2019),Drama
20190040,Stan & Ollie (2019),Drama
20190040,Stan & Ollie (2019),Comedy
20190041,3 Faces (2019),Drama
20190042,One Child Nation (2019),Documentary
20190042,One Child Nation (2019),Documentary
20190043,The Last Black Man in San Francisco (2019),Drama
20190044,Woman at War (Kona fer \xed str\xed\xf0 (2019),Action & Adventure
20190044,Woman at War (Kona fer \xed str\xed\xf0 (2019),Art House & International
20190044,Woman at War (Kona fer \xed str\xed\xf0 (2019),Mystery & Suspense
